International Designator,NORAD Catalog Number,Name,Period (minutes),Inclination (degrees),Apogee Height (km),Perigee Height (km),Eccentricity,Latest Data,GP Age (days)
2023-174BQ,58318,FLOCK 4Q-7,94.39,97.45,497,481,0.0011445,,0.89
2023-174BR,58319,FLOCK 4Q-15,94.32,97.45,494,478,0.0011556,,0.94
2023-174BS,58320,FLOCK 4Q-2,94.43,97.44,498,483,0.0010957,,0.47
2023-174BU,58322,FLOCK 4Q-9,94.43,97.44,499,483,0.0011284,,0.70
2023-174BW,58324,FLOCK 4Q-10,94.38,97.44,496,481,0.0011022,,0.70
2023-174BZ,58327,FLOCK 4Q-4,94.45,97.44,499,485,0.0010191,,0.93
2023-174CA,58328,FLOCK 4Q-13,94.40,97.45,497,482,0.0011143,,0.88
2023-174CB,58329,FLOCK 4Q-21,94.33,97.45,494,479,0.0010620,,0.98
2024-149N,60480,FLOCK 4BE-18,94.70,97.43,508,500,0.0005845,,0.84
2024-149P,60481,FLOCK 4BE-7,94.71,97.44,508,501,0.0004777,,0.84
2024-149R,60483,FLOCK 4BE-16,94.69,97.43,506,501,0.0004049,,0.91
2024-149S,60484,FLOCK 4BE-26,94.70,97.43,507,501,0.0004872,,0.92
2024-149U,60486,FLOCK 4BE-36,94.69,97.43,507,500,0.0005587,,0.98
2024-149V,60487,FLOCK 4BE-25,94.70,97.44,507,501,0.0003870,,0.85
2024-149W,60488,FLOCK 4BE-31,94.67,97.44,506,500,0.0004067,,0.86
2024-149X,60489,FLOCK 4BE-20,94.70,97.43,508,500,0.0005446,,0.85
2024-149Y,60490,FLOCK 4BE-23,94.71,97.44,508,501,0.0005160,,0.91
2024-149Z,60491,FLOCK 4BE-15,94.69,97.43,507,500,0.0004820,,0.86
2024-149AA,60492,FLOCK 4BE-17,94.70,97.44,507,501,0.0004398,,0.98
2024-149AC,60494,FLOCK 4BE-22,94.68,97.43,507,499,0.0005707,,0.86
2024-149AD,60495,FLOCK 4BE-34,94.70,97.44,508,501,0.0004990,,0.86
2024-149AF,60497,FLOCK 4BE-32,94.67,97.43,506,499,0.0005202,,0.87
2024-149AH,60499,FLOCK 4BE-30,94.67,97.44,505,500,0.0003832,,0.47
2024-149AK,60501,FLOCK 4BE-11,94.68,97.43,507,499,0.0005681,,0.47
2024-149AL,60502,FLOCK 4BE-33,94.69,97.43,507,500,0.0005627,,0.87
2024-149AM,60503,FLOCK 4BE-10,94.68,97.44,506,501,0.0004029,,0.87
2024-149AP,60505,FLOCK 4BE-24,94.65,97.43,506,498,0.0005511,,0.89
2024-149AR,60507,TANAGER-1,94.29,97.43,487,482,0.0003598,,0.48
2024-149AT,60509,FLOCK 4BE-29,94.64,97.44,504,499,0.0003532,,0.69
2024-149AV,60511,FLOCK 4BE-2,94.62,97.44,503,498,0.0003742,,0.71
2024-149AW,60512,FLOCK 4BE-13,94.64,97.43,505,498,0.0005473,,0.89
2024-149AX,60513,FLOCK 4BE-27,94.69,97.44,507,500,0.0004579,,0.49
2024-149AY,60514,FLOCK 4BE-9,94.65,97.44,504,499,0.0003961,,0.70
2024-149AZ,60515,FLOCK 4BE-8,94.66,97.43,506,498,0.0005588,,0.89
2024-149BA,60516,FLOCK 4BE-6,94.66,97.44,505,499,0.0004468,,0.70
2024-149BB,60517,FLOCK 4BE-14,94.63,97.43,505,496,0.0006130,,0.85
2024-149BC,60518,FLOCK 4BE-1,94.62,97.44,504,497,0.0005171,,0.98
2024-149BD,60519,FLOCK 4BE-28,94.62,97.43,504,496,0.0006158,,0.71
2024-149CU,60558,FLOCK 4BE-35,94.66,97.44,505,500,0.0003513,,0.89
2024-149CV,60559,FLOCK 4BE-5,94.66,97.44,505,499,0.0004026,,0.69
2024-149CW,60560,FLOCK 4BE-12,94.64,97.43,505,498,0.0005085,,0.83
2024-149CX,60561,FLOCK 4BE-3,94.65,97.43,506,497,0.0006102,,0.70
2024-149CZ,60563,FLOCK 4BE-19,94.62,97.43,504,496,0.0005663,,0.71
