International Designator,NORAD Catalog Number,Name,Period (minutes),Inclination (degrees),Apogee Height (km),Perigee Height (km),Eccentricity,Latest Data,GP Age (days)
2020-006J,45052,STARLINK-1148,94.39,53.06,495,484,0.0007662,,1.24
2020-006L,45054,STARLINK-1156,95.59,53.05,548,546,0.0001594,,0.89
2020-006P,45057,STARLINK-1159,95.59,53.06,548,546,0.0001721,,0.61
2020-006Q,45058,STARLINK-1162,95.59,53.06,548,546,0.0001616,,0.88
2020-006S,45060,STARLINK-1166,95.59,53.06,548,546,0.0001557,,0.93
2020-006T,45061,STARLINK-1169,95.59,53.05,548,546,0.0001525,,0.92
2020-006U,45062,STARLINK-1171,95.59,53.05,548,546,0.0001590,,1.20
2020-006W,45064,STARLINK-1133,95.59,53.05,549,546,0.0002170,,1.25
2020-006X,45065,STARLINK-1139,90.68,53.04,308,307,0.0000925,,0.39
2020-006Y,45066,STARLINK-1145,95.59,53.05,548,546,0.0001453,,0.94
2020-006Z,45067,STARLINK-1150,95.59,53.06,548,546,0.0001689,,1.26
2020-006AA,45068,STARLINK-1161,94.67,53.05,506,499,0.0004942,,0.64
2020-006AD,45071,STARLINK-1167,95.59,53.05,548,546,0.0001335,,0.96
2020-006AE,45072,STARLINK-1168,95.59,53.05,548,546,0.0001499,,0.96
2020-006AF,45073,STARLINK-1170,95.59,53.05,548,546,0.0001585,,1.27
2020-006AG,45074,STARLINK-1172,95.59,53.05,548,546,0.0001459,,0.95
2020-006AH,45075,STARLINK-1174,95.59,53.05,548,546,0.0001510,,0.38
2020-006AL,45078,STARLINK-1177,95.59,53.05,548,546,0.0001772,,1.29
2020-006AN,45080,STARLINK-1153,95.59,53.05,548,546,0.0001489,,0.97
2020-006AP,45081,STARLINK-1151,95.59,53.05,548,546,0.0001496,,1.25
2020-006AR,45083,STARLINK-1190,95.59,53.05,548,546,0.0001675,,0.91
2020-006AS,45084,STARLINK-1173,95.59,53.05,548,546,0.0001595,,0.99
2020-006AT,45085,STARLINK-1179,95.59,53.05,548,546,0.0001354,,0.99
2020-006AV,45087,STARLINK-1185,95.59,53.05,548,546,0.0001258,,1.01
2020-006AW,45088,STARLINK-1183,95.59,53.06,548,546,0.0001665,,0.99
2020-006AX,45089,STARLINK-1136,94.71,53.05,505,504,0.0001364,,0.64
2020-006AY,45090,STARLINK-1176,95.59,53.06,548,546,0.0001829,,1.00
2020-006BA,45092,STARLINK-1137,95.53,53.06,545,543,0.0001755,,0.58
2020-006BB,45093,STARLINK-1142,95.16,53.05,530,523,0.0005069,,1.03
2020-006BC,45094,STARLINK-1146,95.59,53.05,548,546,0.0001404,,1.02
2020-006BD,45095,STARLINK-1147,95.59,53.05,548,546,0.0001342,,1.02
2020-006BE,45096,STARLINK-1152,95.59,53.05,548,546,0.0001055,,1.02
2020-006BG,45098,STARLINK-1184,95.59,53.05,548,546,0.0001155,,0.57
2020-006BH,45099,STARLINK-1186,95.59,53.05,548,546,0.0001596,,0.48
2020-006BJ,45100,STARLINK-1193,95.59,53.06,548,546,0.0001364,,0.58
2020-012A,45178,STARLINK-1138,95.59,53.05,548,546,0.0001292,,1.01
2020-012B,45179,STARLINK-1143,95.59,53.05,548,546,0.0001350,,0.96
2020-012D,45181,STARLINK-1200,95.59,53.05,548,546,0.0001865,,0.55
2020-012E,45182,STARLINK-1201,95.59,53.06,548,546,0.0001263,,1.06
2020-012F,45183,STARLINK-1202,95.59,53.05,548,546,0.0001245,,0.98
2020-012G,45184,STARLINK-1205,94.87,53.05,513,511,0.0001332,,0.64
2020-012H,45185,STARLINK-1216,95.59,53.05,549,546,0.0001897,,0.59
2020-012J,45186,STARLINK-1224,95.59,53.05,548,546,0.0001328,,0.97
2020-012K,45187,STARLINK-1225,95.59,53.05,548,546,0.0001338,,0.57
2020-012L,45188,STARLINK-1228,95.59,53.06,548,546,0.0001705,,0.70
2020-012M,45189,STARLINK-1230,95.59,53.05,548,546,0.0001339,,0.97
2020-012N,45190,STARLINK-1234,95.59,53.05,548,546,0.0001290,,0.68
2020-012P,45191,STARLINK-1236,95.59,53.05,548,546,0.0001790,,1.02
2020-012Q,45192,STARLINK-1237,95.59,53.05,548,546,0.0001372,,0.59
2020-012S,45194,STARLINK-1240,95.59,53.05,548,547,0.0000985,,0.59
2020-012U,45196,STARLINK-1244,95.59,53.05,548,546,0.0001504,,1.01
2020-012V,45197,STARLINK-1269,95.59,53.06,548,546,0.0001511,,0.56
2020-012W,45198,STARLINK-1154,95.59,53.06,548,546,0.0001421,,1.03
2020-012Z,45201,STARLINK-1199,95.59,53.05,549,546,0.0002052,,0.62
2020-012AC,45204,STARLINK-1206,95.59,53.05,548,546,0.0001632,,1.06
2020-012AD,45205,STARLINK-1208,95.59,53.05,548,546,0.0001023,,0.64
2020-012AE,45206,STARLINK-1209,95.59,53.06,548,546,0.0001565,,0.68
2020-012AF,45207,STARLINK-1210,95.23,53.05,531,528,0.0001600,,0.63
2020-012AJ,45210,STARLINK-1219,95.59,53.06,548,547,0.0000889,,0.61
2020-012AL,45212,STARLINK-1231,95.59,53.05,548,546,0.0001356,,1.04
2020-012AR,45217,STARLINK-1271,95.59,53.05,548,546,0.0001215,,0.64
2020-012AT,45219,STARLINK-1187,95.59,53.06,548,546,0.0001429,,0.70
2020-012AV,45221,STARLINK-1189,95.59,53.05,549,546,0.0002193,,0.70
2020-012AW,45222,STARLINK-1191,95.59,53.06,549,546,0.0002132,,1.16
2020-012AX,45223,STARLINK-1212,95.59,53.06,548,546,0.0001843,,0.67
2020-012AZ,45225,STARLINK-1215,95.59,53.05,548,546,0.0001494,,1.12
2020-012BA,45226,STARLINK-1217,95.59,53.06,548,546,0.0001499,,1.11
2020-012BB,45227,STARLINK-1221,94.71,53.05,506,503,0.0002591,,0.70
2020-012BC,45228,STARLINK-1222,95.59,53.06,548,546,0.0001441,,1.08
2020-012BD,45229,STARLINK-1226,95.59,53.05,548,546,0.0001936,,1.12
2020-012BE,45230,STARLINK-1227,95.59,53.06,548,546,0.0001687,,0.66
