OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
IRIDIUM 134,2017-083F,2024-12-08T08:24:14.995584,14.34218972,.0001788,86.3999,194.3447,85.4381,274.7019,0,U,43075,999,36443,.46117E-4,.149E-5,0
IRIDIUM 137,2017-083G,2024-12-09T03:07:39.566784,14.34216318,.0001788,86.3999,194.1000,101.5649,258.5747,0,U,43076,999,36461,.22467E-3,.649E-5,0
IRIDIUM 141,2017-083H,2024-12-08T13:34:47.419104,14.34220690,.0002231,86.3994,194.1984,80.6984,279.4464,0,U,43077,999,36453,.20303E-3,.588E-5,0
IRIDIUM 153,2017-083J,2024-12-08T22:28:43.456512,14.34217171,.000244,86.3989,162.5704,82.6252,277.5221,0,U,43078,999,36569,-.23807E-4,-.47E-6,0
IRIDIUM 131,2017-083K,2024-12-08T19:58:23.242080,14.34215641,.0002125,86.4001,194.2358,87.6772,272.4667,0,U,43079,999,36450,.20351E-3,.59E-5,0
IRIDIUM 144,2018-030A,2024-12-08T22:37:51.312000,14.34217307,.0001673,86.3988,162.5099,86.3579,273.7808,0,U,43249,999,35055,-.20521E-4,-.38E-6,0
IRIDIUM 149,2018-030B,2024-12-09T02:07:55.305984,14.34217570,.0001747,86.3986,162.4223,95.5827,264.5568,0,U,43250,999,35059,-.90096E-5,-.5E-7,0
IRIDIUM 157,2018-030C,2024-12-08T21:33:55.354176,14.34217553,.0002068,86.3982,162.5425,93.1590,266.9842,0,U,43251,999,35054,.12112E-6,.2E-6,0
IRIDIUM 140,2018-030D,2024-12-09T01:22:16.060512,14.34217717,.0001941,86.3982,162.4905,87.2633,272.8785,0,U,43252,999,35062,.8588E-4,.26E-5,0
IRIDIUM 145,2018-030E,2024-12-09T01:03:59.252256,14.34217380,.0001447,86.3988,162.4689,90.9285,269.2076,0,U,43253,999,35055,-.14428E-4,-.21E-6,0
IRIDIUM 146,2018-030F,2024-12-08T21:15:39.230208,14.34217549,.0001651,86.3979,162.5493,91.2372,268.9012,0,U,43254,999,35054,.13341E-4,.57E-6,0
IRIDIUM 148,2018-030G,2024-12-08T22:10:27.211584,14.34218373,.0001829,86.3983,162.5680,94.6309,265.5096,0,U,43255,999,35058,.43877E-4,.143E-5,0
IRIDIUM 142,2018-030H,2024-12-08T21:24:47.219616,14.34216652,.0001543,86.3979,162.4906,97.2441,262.8930,0,U,43256,999,35054,.70413E-4,.217E-5,0
