International Designator,NORAD Catalog Number,Name,Period (minutes),Inclination (degrees),Apogee Height (km),Perigee Height (km),Eccentricity,Latest Data,GP Age (days)
2020-006AV,45087,STARLINK-1185,95.59,53.05,548,546,0.0001484,,0.37
2020-006AW,45088,STARLINK-1183,95.59,53.05,548,546,0.0001672,,0.35
2020-006AY,45090,STARLINK-1176,95.59,53.06,548,546,0.0001253,,0.36
2020-006BA,45092,STARLINK-1137,95.21,53.05,532,525,0.0004924,,0.57
2020-006BB,45093,STARLINK-1142,94.82,53.05,511,509,0.0001649,,0.6
2020-006BC,45094,STARLINK-1146,95.59,53.06,549,546,0.00018,,0.38
2020-006BD,45095,STARLINK-1147,95.59,53.06,549,546,0.0002497,,0.58
2020-006BE,45096,STARLINK-1152,95.51,53.06,545,542,0.0002346,,0.59
2020-006BG,45098,STARLINK-1184,95.59,53.06,548,546,0.0001533,,0.33
2020-006BH,45099,STARLINK-1186,90.41,53.05,298,291,0.0005052,*D,0.25
2020-006BJ,45100,STARLINK-1193,95.59,53.05,548,546,0.0001313,,0.27
2020-008A,45131,ONEWEB-0013,109.97,87.87,1226,1225,0.0000541,,0.6
2020-008B,45132,ONEWEB-0017,109.89,87.89,1223,1220,0.0001828,,0.63
2020-008C,45133,ONEWEB-0020,109.89,87.89,1223,1220,0.0001746,,0.66
2020-008D,45134,ONEWEB-0021,109.89,87.89,1223,1221,0.0001493,,0.65
2020-008F,45136,ONEWEB-0023,109.89,87.89,1223,1221,0.0001485,,0.26
2020-008G,45137,ONEWEB-0024,109.89,87.89,1223,1221,0.0001567,,0.67
2020-008H,45138,ONEWEB-0025,109.89,87.89,1223,1221,0.0001032,,0.65
2020-008J,45139,ONEWEB-0026,109.81,87.89,1219,1216,0.0001876,,0.68
2020-008K,45140,ONEWEB-0028,109.8,87.89,1219,1217,0.0001091,,0.8
2020-008L,45141,ONEWEB-0032,109.89,87.89,1223,1221,0.0001381,,0.63
2020-008M,45142,ONEWEB-0033,109.89,87.89,1223,1220,0.0001784,,0.66
2020-008N,45143,ONEWEB-0035,109.89,87.89,1223,1220,0.0001674,,0.24
2020-008P,45144,ONEWEB-0036,109.89,87.89,1223,1221,0.0001463,,0.25
2020-008Q,45145,ONEWEB-0038,109.81,87.89,1219,1217,0.0001216,,0.68
2020-008R,45146,ONEWEB-0039,109.89,87.89,1222,1221,0.0000963,,0.65
2020-008S,45147,ONEWEB-0040,109.89,87.89,1223,1221,0.0001556,,0.66
2020-008U,45149,ONEWEB-0043,109.89,87.89,1223,1221,0.0001182,,0.66
2020-008V,45150,ONEWEB-0044,109.89,87.89,1223,1221,0.0001333,,0.63
2020-008W,45151,ONEWEB-0045,109.81,87.89,1219,1216,0.0001631,,0.67
2020-008X,45152,ONEWEB-0047,109.89,87.89,1223,1221,0.0001524,,0.64
2020-008Y,45153,ONEWEB-0048,109.89,87.89,1223,1221,0.0001556,,0.64
2020-008Z,45154,ONEWEB-0049,109.89,87.89,1223,1220,0.0001615,,0.64
2020-008AA,45155,ONEWEB-0051,109.81,87.89,1219,1216,0.0001817,,0.68
2020-008AB,45156,ONEWEB-0052,109.89,87.89,1223,1221,0.0001472,,0.64
2020-008AC,45157,ONEWEB-0053,109.89,87.89,1223,1221,0.0001263,,0.66
2020-008AD,45158,ONEWEB-0054,109.89,87.89,1223,1220,0.0001647,,0.63
2020-008AE,45159,ONEWEB-0056,109.89,87.89,1223,1221,0.0001485,,0.65
2020-008AF,45160,ONEWEB-0057,109.89,87.89,1223,1221,0.0001426,,0.64
2020-008AG,45161,ONEWEB-0058,109.89,87.89,1223,1220,0.0001655,,0.65
2020-008AH,45162,ONEWEB-0059,109.89,87.89,1223,1220,0.0001635,,0.66
2020-008AJ,45163,ONEWEB-0062,109.89,87.89,1223,1220,0.0001928,,0.25
2020-008AK,45164,ONEWEB-0065,109.89,87.89,1223,1221,0.0001468,,0.65
2020-012A,45178,STARLINK-1138,88.72,53.03,212,210,0.0001944,*D,0.14
2020-012B,45179,STARLINK-1143,95.33,53.05,537,532,0.0003746,,0.91
2020-012D,45181,STARLINK-1200,95.59,53.05,548,546,0.0001329,,1.04
2020-012E,45182,STARLINK-1201,95.59,53.05,548,546,0.0001559,,0.95
2020-012F,45183,STARLINK-1202,95.59,53.05,548,546,0.000126,,1
2020-012G,45184,STARLINK-1205,91.48,53.05,351,343,0.0006164,,0.5
2020-012H,45185,STARLINK-1216,95.59,53.05,548,546,0.000153,,0.28
2020-012J,45186,STARLINK-1224,95.59,53.05,548,546,0.0001568,,1
2020-012K,45187,STARLINK-1225,95.59,53.05,548,546,0.0001432,,0.93
2020-012L,45188,STARLINK-1228,95.59,53.05,548,546,0.0001481,,0.99
2020-012M,45189,STARLINK-1230,95.59,53.05,548,546,0.000151,,0.99
2020-012N,45190,STARLINK-1234,95.59,53.05,548,546,0.0001484,,0.97
2020-012P,45191,STARLINK-1236,90.1,53.05,282,276,0.0004329,*D,0.25
2020-012Q,45192,STARLINK-1237,95.59,53.05,548,546,0.0001728,,0.87
2020-012S,45194,STARLINK-1240,95.59,53.05,548,547,0.0000934,,1.02
2020-012U,45196,STARLINK-1244,95.59,53.05,548,546,0.0001478,,1.03
2020-012V,45197,STARLINK-1269,95.59,53.05,548,546,0.0001406,,0.98
2020-012W,45198,STARLINK-1154,95.59,53.05,548,546,0.000129,,1.05
2020-012Z,45201,STARLINK-1199,95.59,53.05,548,546,0.0001555,,0.98
2020-012AC,45204,STARLINK-1206,95.59,53.05,548,546,0.0001353,,1.08
2020-012AD,45205,STARLINK-1208,95.59,53.05,548,546,0.0001492,,0.33
2020-012AE,45206,STARLINK-1209,95.59,53.06,548,546,0.0001696,,1.1
2020-012AF,45207,STARLINK-1210,94.89,53.05,514,513,0.0001042,,0.97
2020-012AJ,45210,STARLINK-1219,95.59,53.05,548,546,0.0001211,,0.97
2020-012AL,45212,STARLINK-1231,95.59,53.05,548,546,0.0001413,,0.34
2020-012AR,45217,STARLINK-1271,95.59,53.05,548,546,0.0001438,,0.33
2020-012AT,45219,STARLINK-1187,92.72,53.05,411,405,0.0004487,,0.45
2020-012AV,45221,STARLINK-1189,91.61,53.05,356,351,0.0003156,,0.25
2020-012AW,45222,STARLINK-1191,95.59,53.06,549,546,0.0002126,,1.18
2020-012AX,45223,STARLINK-1212,95.59,53.05,548,546,0.0001493,,1.1
2020-012AZ,45225,STARLINK-1215,95.59,53.06,548,546,0.0001568,,1.14
2020-012BA,45226,STARLINK-1217,95.59,53.05,548,546,0.0001454,,1
2020-012BB,45227,STARLINK-1221,94.41,53.07,493,486,0.0004994,,1.21
2020-012BC,45228,STARLINK-1222,95.59,53.06,548,546,0.0001706,,1.17
2020-012BD,45229,STARLINK-1226,95.59,53.05,548,546,0.0001274,,1.08
2020-012BE,45230,STARLINK-1227,95.59,53.06,548,546,0.0001525,,1.08
2020-012BG,45232,STARLINK-1235,92.09,53.06,383,371,0.0008555,,0.25
2020-012BH,45233,STARLINK-1238,95.59,53.05,548,546,0.0001374,,1.03
2020-012BK,45235,STARLINK-1246,95.59,53.05,548,546,0.0001341,,0.27
2020-012BL,45236,STARLINK-1247,95.59,53.05,548,546,0.0001638,,1.15
2020-012BM,45237,STARLINK-1270,95.59,53.05,548,546,0.0001425,,1.2
2020-013A,45245,JCSAT-17,1436.08,5.49,35804,35768,0.0004297,*G,0.79
2020-013B,45246,GEO-KOMPSAT-2B,1436.1,0.03,35790,35783,0.0000795,*G,1.44
2020-015A,45254,MERIDIAN 9,717.76,65.07,38656,1698,0.6958777,,0.47
2020-017A,45344,BEIDOU-3 G2,1436.09,2.63,35799,35774,0.0003044,*G,1.02
2020-018A,45358,COSMOS 2545 [GLONASS-M],675.73,64.65,19156,19103,0.0010438,,1.24
2020-019A,45360,STARLINK-1279,95.59,53.05,548,546,0.0001581,,0.64
2020-019B,45361,STARLINK-1301,95.59,53.05,548,546,0.0001158,,0.78
2020-019C,45362,STARLINK-1306,95.59,53.05,548,546,0.0001364,,0.74
2020-019G,45366,STARLINK-1262,95.59,53.05,548,546,0.0001694,,0.75
2020-019H,45367,STARLINK-1273,95.59,53.05,548,546,0.0001348,,0.6
2020-019J,45368,STARLINK-1276,95.59,53.05,548,546,0.0001274,,0.56
2020-019K,45369,STARLINK-1277,95.59,53.05,548,546,0.0001512,,0.7
2020-019L,45370,STARLINK-1281,95.59,53.05,548,546,0.0001454,,0.71
2020-019P,45373,STARLINK-1295,93.52,53.05,447,446,0.0001021,,0.25
2020-019Q,45374,STARLINK-1300,95.59,53.05,548,546,0.0001494,,0.55
2020-019R,45375,STARLINK-1302,95.59,53.05,548,546,0.0001429,,0.67
2020-019S,45376,STARLINK-1304,95.59,53.05,548,546,0.0001383,,0.58
2020-019T,45377,STARLINK-1305,95.59,53.05,548,546,0.0001402,,0.69
2020-019V,45379,STARLINK-1319,95.59,53.05,548,546,0.0001389,,0.7
2020-019W,45380,STARLINK-1207,90.3,53.04,293,285,0.0006115,*D,0.25
2020-019X,45381,STARLINK-1258,95.59,53.05,548,546,0.0001137,,0.76
2020-019Z,45383,STARLINK-1266,95.59,53.05,548,546,0.0001383,,0.76
2020-019AA,45384,STARLINK-1267,95.59,53.05,548,546,0.0001382,,0.64
2020-019AC,45386,STARLINK-1272,95.59,53.05,548,546,0.0001317,,0.64
2020-019AD,45387,STARLINK-1274,95.59,53.05,548,546,0.0001211,,0.62
2020-019AE,45388,STARLINK-1280,95.59,53.05,548,546,0.0001283,,0.58
2020-019AF,45389,STARLINK-1283,95.59,53.05,548,546,0.0001403,,0.6
2020-019AG,45390,STARLINK-1284,95.59,53.05,548,546,0.0001264,,0.63
2020-019AK,45393,STARLINK-1291,90.79,53.05,316,311,0.0004141,,0.5
2020-019AL,45394,STARLINK-1292,95.59,53.05,548,546,0.0001448,,0.75
2020-019AM,45395,STARLINK-1297,95.59,53.05,548,546,0.0001312,,0.59
2020-019AN,45396,STARLINK-1303,91.75,53.05,361,359,0.0001573,,0.68
2020-019AP,45397,STARLINK-1307,95.59,53.05,548,546,0.0001355,,0.73
2020-019AQ,45398,STARLINK-1312,95.59,53.05,548,546,0.0001129,,0.74
2020-019AR,45399,STARLINK-1255,95.59,53.05,548,546,0.0001327,,0.76
2020-019AS,45400,STARLINK-1213,90.88,53.07,323,313,0.0007175,,0.25
2020-019AT,45401,STARLINK-1256,93.67,53.06,455,453,0.0001286,,0.75
2020-019AV,45403,STARLINK-1259,95.59,53.05,548,546,0.0001359,,0.61
2020-019AW,45404,STARLINK-1260,95.59,53.06,548,546,0.0001319,,0.73
2020-019AX,45405,STARLINK-1263,95.59,53.06,548,546,0.0001492,,0.68
2020-019AY,45406,STARLINK-1265,95.59,53.06,548,546,0.0001307,,0.67
2020-019AZ,45407,STARLINK-1275,92.74,53.05,411,407,0.0002681,,0.25
2020-019BA,45408,STARLINK-1278,95.59,53.05,548,546,0.0001367,,0.64
2020-019BB,45409,STARLINK-1282,92.95,53.05,420,418,0.0001163,,0.5
2020-019BD,45411,STARLINK-1293,94.05,53.05,473,472,0.0001143,,0.83
2020-019BE,45412,STARLINK-1296,95.59,53.05,548,546,0.0001277,,0.73
2020-019BF,45413,STARLINK-1298,95.59,53.05,548,546,0.0001544,,0.64
2020-019BG,45414,STARLINK-1309,95.59,53.06,548,546,0.0001381,,0.65
2020-019BH,45415,STARLINK-1316,95.59,53.05,548,546,0.0001292,,0.76
2020-019BJ,45416,STARLINK-1318,95.59,53.05,548,546,0.0001148,,0.66
2020-019BK,45417,STARLINK-1286,95.59,53.05,548,546,0.0001305,,0.59
2020-019BM,45419,STARLINK-1308,95.59,53.05,548,546,0.0001425,,0.52
2020-020A,45424,ONEWEB-0066,109.8,87.89,1219,1217,0.0001396,,0.69
2020-020B,45425,ONEWEB-0067,109.8,87.89,1219,1217,0.0001466,,0.73
2020-020C,45426,ONEWEB-0080,109.8,87.89,1219,1216,0.0001822,,0.72
2020-020D,45427,ONEWEB-0090,109.8,87.89,1219,1216,0.0001724,,0.24
2020-020E,45428,ONEWEB-0061,109.81,87.89,1219,1216,0.0001667,,0.67
2020-020F,45429,ONEWEB-0081,109.8,87.89,1219,1217,0.0001485,,0.69
2020-020G,45430,ONEWEB-0069,109.8,87.89,1219,1216,0.0001805,,0.7
2020-020H,45431,ONEWEB-0031,109.8,87.89,1219,1216,0.0001791,,0.73
2020-020J,45432,ONEWEB-0027,109.29,87.91,1195,1192,0.0002076,,0.77
2020-020K,45433,ONEWEB-0064,109.8,87.89,1219,1216,0.0001896,,0.73
2020-020L,45434,ONEWEB-0018,109.8,87.89,1219,1216,0.0001717,,0.7
2020-020M,45435,ONEWEB-0083,109.8,87.89,1219,1216,0.0001745,,0.71
2020-020N,45436,ONEWEB-0095,109.8,87.89,1219,1216,0.0002065,,0.26
2020-020P,45437,ONEWEB-0092,109.8,87.89,1219,1216,0.0001674,,0.67
2020-020Q,45438,ONEWEB-0085,109.8,87.89,1219,1216,0.000167,,0.71
2020-020R,45439,ONEWEB-0096,109.8,87.89,1219,1217,0.0001509,,0.25
2020-020S,45440,ONEWEB-0037,109.8,87.89,1219,1216,0.0001683,,0.27
2020-020T,45441,ONEWEB-0042,109.8,87.89,1219,1216,0.0001607,,0.72
2020-020U,45442,ONEWEB-0098,109.8,87.89,1219,1216,0.0001927,,0.72
2020-020V,45443,ONEWEB-0055,109.81,87.89,1219,1216,0.0001723,,0.66
2020-020W,45444,ONEWEB-0093,109.8,87.89,1219,1216,0.0001605,,0.68
2020-020X,45445,ONEWEB-0029,109.81,87.89,1219,1217,0.000149,,0.67
2020-020Y,45446,ONEWEB-0068,109.81,87.89,1219,1217,0.0001493,,0.69
2020-020Z,45447,ONEWEB-0046,109.8,87.89,1219,1217,0.0001461,,0.69
2020-020AA,45448,ONEWEB-0063,109.81,87.89,1219,1216,0.0001707,,0.66
2020-020AB,45449,ONEWEB-0019,109.81,87.89,1219,1216,0.0001853,,0.69
2020-020AC,45450,ONEWEB-0094,109.29,87.91,1195,1192,0.0001708,,0.72
2020-020AD,45451,ONEWEB-0087,109.8,87.89,1219,1217,0.0001412,,0.73
2020-020AE,45452,ONEWEB-0082,109.8,87.89,1219,1216,0.000164,,0.66
2020-020AF,45453,ONEWEB-0050,96.44,88,591,585,0.0004626,,0.63
2020-020AG,45454,ONEWEB-0034,109.8,87.89,1219,1216,0.0001685,,0.25
2020-020AH,45455,ONEWEB-0060,109.81,87.89,1219,1216,0.0001669,,0.67
2020-020AJ,45456,ONEWEB-0086,109.81,87.89,1219,1217,0.0001296,,0.69
2020-020AK,45457,ONEWEB-0088,109.8,87.89,1219,1217,0.0001508,,0.71
2020-021A,45460,YAOGAN-30 07A,96.1,35,575,568,0.0005235,,0.22
2020-021B,45461,YAOGAN-30 07B,96.09,34.99,573,570,0.0001789,,0.24
2020-021C,45462,YAOGAN-30 07C,96.1,35,574,570,0.000314,,0.26
2020-022B,45465,AEHF-6 (USA 298),1436.04,3.71,35994,35578,0.004932,,0.79
2020-025A,45531,STARLINK-1329,95.59,53.05,548,546,0.0001432,,0.76
2020-025B,45532,STARLINK-1338,95.59,53.05,548,546,0.0001246,,0.81
2020-025D,45534,STARLINK-1341,90.81,53.04,318,310,0.0006045,,0.25
2020-025E,45535,STARLINK-1350,94.59,53.07,500,498,0.0001199,,0.86
2020-025F,45536,STARLINK-1352,95.42,53.05,540,537,0.000216,,0.73
2020-025H,45538,STARLINK-1362,95.59,53.06,548,546,0.0001431,,0.71
2020-025K,45540,STARLINK-1368,95.59,53.05,548,546,0.0001156,,0.71
2020-025L,45541,STARLINK-1369,93.11,53.05,428,426,0.0001401,,0.5
2020-025M,45542,STARLINK-1371,95.59,53.05,548,546,0.0001337,,0.74
2020-025N,45543,STARLINK-1372,95.59,53.05,548,546,0.0001397,,0.9
2020-025P,45544,STARLINK-1373,95.59,53.05,548,546,0.0001243,,0.75
2020-025Q,45545,STARLINK-1374,90.98,53.04,326,319,0.000555,,0.5
2020-025R,45546,STARLINK-1375,91.7,53.05,358,357,0.0000879,,0.5
2020-025T,45548,STARLINK-1378,90.85,53.04,320,312,0.0006295,,0.25
2020-025V,45550,STARLINK-1390,91.36,53.05,343,339,0.0002649,,0.5
2020-025W,45551,STARLINK-1294,95.58,53.05,548,545,0.0001666,,0.88
2020-025Y,45553,STARLINK-1323,95.59,53.05,548,546,0.0001349,,0.86
2020-025Z,45554,STARLINK-1325,95.18,53.05,529,526,0.0002208,,0.78
2020-025AA,45555,STARLINK-1327,95.59,53.05,548,546,0.0001462,,0.31
2020-025AB,45556,STARLINK-1334,93.67,53.06,455,453,0.0001343,,0.8
2020-025AC,45557,STARLINK-1336,95.59,53.05,548,546,0.0001218,,0.86
2020-025AD,45558,STARLINK-1342,95.59,53.05,548,546,0.0001589,,0.76
2020-025AF,45560,STARLINK-1346,92.24,53.05,385,383,0.0001539,,0.25
2020-025AJ,45563,STARLINK-1355,93.65,53.05,455,451,0.0002693,,0.24
2020-025AK,45564,STARLINK-1356,95.59,53.05,548,546,0.0001209,,0.77
2020-025AL,45565,STARLINK-1357,95.59,53.05,548,547,0.0000788,,0.78
2020-025AM,45566,STARLINK-1358,91.85,53.05,366,365,0.0001136,,0.25
2020-025AN,45567,STARLINK-1361,95.59,53.05,548,546,0.0001285,,0.89
2020-025AP,45568,STARLINK-1363,95.59,53.05,548,546,0.0001395,,0.8
2020-025AQ,45569,STARLINK-1366,95.59,53.05,548,546,0.0001119,,0.88
2020-025AR,45570,STARLINK-1376,95.59,53.05,548,546,0.0001231,,0.89
2020-025AT,45572,STARLINK-1320,95.13,53.05,528,523,0.0003681,,0.26
2020-025AU,45573,STARLINK-1321,95.59,53.06,548,546,0.0001582,,0.77
2020-025AX,45576,STARLINK-1328,95.59,53.05,548,546,0.0001372,,0.92
2020-025AZ,45578,STARLINK-1331,95.59,53.05,548,546,0.0001104,,0.79
2020-025BA,45579,STARLINK-1332,92,53.05,375,371,0.0003115,,0.97
2020-025BB,45580,STARLINK-1333,95.59,53.06,548,546,0.0001656,,0.79
2020-025BC,45581,STARLINK-1335,95.59,53.05,548,546,0.0001252,,0.91
2020-025BD,45582,STARLINK-1337,95.59,53.05,547,547,0.0000295,,0.23
2020-025BH,45586,STARLINK-1347,95.59,53.05,548,546,0.0001211,,0.9
2020-025BJ,45587,STARLINK-1349,95.59,53.05,548,546,0.0001682,,0.8
2020-025BK,45588,STARLINK-1360,95.37,53.05,537,535,0.000152,,0.79
2020-025BL,45589,STARLINK-1364,95.59,53.05,548,546,0.0001207,,0.89
2020-025BM,45590,STARLINK-1365,95.59,53.06,548,546,0.0001323,,0.74
2020-028A,45602,XINGYUN-2 01,95.48,97.46,549,535,0.0010419,,0.28
2020-028B,45603,XINGYUN-2 02,95.48,97.51,549,535,0.0010459,,0.22
2020-031A,45608,COSMOS 2546,717.78,63.1,38251,2104,0.6806009,,0.92
2020-032A,45611,XJS G,92.66,35.03,406,404,0.0002011,,0.25
2020-034B,45625,GAOFEN-9 02,94.53,97.51,496,495,0.0000863,,0.29
2020-035D,45660,STARLINK-1443,95.59,53.05,548,546,0.0001495,,0.56
2020-035E,45661,STARLINK-1444,92.48,53.05,398,394,0.0002614,,1.14
2020-035G,45663,STARLINK-1446,95.21,53.05,530,527,0.0002167,,0.28
2020-035J,45665,STARLINK-1448,95.59,53.05,548,546,0.0001691,,0.95
2020-035K,45666,STARLINK-1449,92.78,53.03,414,407,0.0005018,,0.25
2020-035M,45668,STARLINK-1451,95.59,53.05,548,546,0.0001232,,0.95
2020-035N,45669,STARLINK-1452,95.53,53.05,545,543,0.0001229,,0.94
2020-035P,45670,STARLINK-1453,95.59,53.05,548,546,0.0001656,,0.34
2020-035Q,45671,STARLINK-1454,95.59,53.05,548,546,0.0001541,,0.86
2020-035S,45673,STARLINK-1456,95.59,53.05,548,546,0.0001417,,0.98
2020-035T,45674,STARLINK-1457,95.59,53.05,548,546,0.0001437,,0.97
2020-035U,45675,STARLINK-1458,95.59,53.05,548,546,0.0001508,,0.25
2020-035V,45676,STARLINK-1460,95.59,53.05,548,546,0.0001337,,0.55
2020-035W,45677,STARLINK-1392,95.59,53.05,548,546,0.0001438,,0.87
2020-035X,45678,STARLINK-1393,91.39,53.05,345,341,0.0003175,,0.25
2020-035Y,45679,STARLINK-1394,95.59,53.05,548,546,0.0001218,,0.27
2020-035Z,45680,STARLINK-1395,93.41,53.05,442,440,0.0001455,,0.89
2020-035AB,45682,STARLINK-1397,93.49,53.05,447,444,0.0002608,,1.02
2020-035AC,45683,STARLINK-1399,91.99,53.05,373,371,0.000091,,0.5
2020-035AD,45684,STARLINK-1401,90.15,53.04,286,278,0.0006402,*D,0.25
2020-035AE,45685,STARLINK-1402,95.59,53.05,548,546,0.0001314,,0.97
2020-035AF,45686,STARLINK-1404,95.59,53.05,548,546,0.0001349,,0.98
2020-035AH,45688,STARLINK-1408,90.94,53.07,323,319,0.0002713,,0.5
2020-035AJ,45689,STARLINK-1413,95.59,53.05,548,546,0.0001579,,0.56
2020-035AK,45690,STARLINK-1414,93.31,53.05,438,435,0.0002444,,0.58
2020-035AN,45693,STARLINK-1417,95.59,53.05,548,546,0.0001357,,0.56
2020-035AQ,45695,STARLINK-1420,95.59,53.05,548,546,0.0001578,,1.03
2020-035AR,45696,STARLINK-1422,95.59,53.05,549,546,0.0001824,,0.29
2020-035AS,45697,STARLINK-1351,95.59,53.06,548,546,0.0001434,,0.31
2020-035AU,45699,STARLINK-1398,95.59,53.05,548,546,0.0001484,,1.06
2020-035AV,45700,STARLINK-1400,95.59,53.05,548,546,0.0001428,,0.93
2020-035AW,45701,STARLINK-1403,95.59,53.05,548,546,0.000147,,1.04
2020-035AX,45702,STARLINK-1405,94.9,53.05,514,513,0.0000532,,1.01
2020-035AY,45703,STARLINK-1407,95.11,53.05,526,521,0.000349,,0.32
2020-035BB,45706,STARLINK-1411,95.59,53.05,548,546,0.0001229,,0.62
2020-035BC,45707,STARLINK-1412,92.48,53.05,398,395,0.000217,,1.1
2020-035BD,45708,STARLINK-1418,91.7,53.05,359,357,0.0001704,,1.11
2020-035BF,45710,STARLINK-1423,95.59,53.05,548,546,0.0001199,,0.94
2020-035BG,45711,STARLINK-1433,95.59,53.05,548,546,0.0001545,,0.63
2020-035BH,45712,STARLINK-1434,95.59,53.06,548,546,0.0001495,,0.3
2020-036A,45721,HAIYANG-1D,100.41,98.62,780,776,0.0002267,,0.29
2020-037D,45726,ANDESITE,95.92,97.79,569,557,0.000876,,0.45
2020-037E,45727,M2 PATHFINDER,95.98,97.79,575,557,0.0013217,,1.05
2020-038B,45731,STARLINK-1465,95.59,53.05,548,546,0.0001413,,0.6
2020-038F,45735,STARLINK-1471,94.17,53.06,480,477,0.0001775,,0.57
2020-038J,45738,STARLINK-1474,93.75,53.05,459,457,0.0001327,,0.38
2020-038K,45739,STARLINK-1475,94.18,53.07,480,478,0.0001016,,0.55
2020-038L,45740,STARLINK-1479,87.58,53.04,158,151,0.0005273,*D,0.36
2020-038M,45741,STARLINK-1480,95.59,53.05,548,546,0.0001469,,0.62
2020-038N,45742,STARLINK-1481,93.93,53.06,476,458,0.0013234,,0.61
2020-038Q,45744,STARLINK-1500,95.59,53.05,548,546,0.0001512,,0.57
2020-038R,45745,STARLINK-1503,93.89,53.05,466,464,0.0001403,,0.62
2020-038S,45746,STARLINK-1504,94.82,53.05,511,509,0.0001901,,0.38
2020-038T,45747,STARLINK-1506,95.44,53.05,542,538,0.0003055,,0.33
2020-038U,45748,STARLINK-1507,93.15,53.05,432,425,0.0005301,,0.49
2020-038W,45750,STARLINK-1391,90.88,53.05,321,314,0.0005339,,0.25
2020-038X,45751,STARLINK-1464,95.59,53.05,548,546,0.0001505,,0.55
2020-038Z,45753,STARLINK-1476,94.08,53.04,476,472,0.0002834,,0.57
2020-038AA,45754,STARLINK-1477,95.59,53.05,548,546,0.0001454,,0.6
2020-038AB,45755,STARLINK-1478,95.59,53.05,548,546,0.00018,,0.58
2020-038AC,45756,STARLINK-1484,94.32,53.03,487,484,0.0002113,,0.52
2020-038AE,45758,STARLINK-1487,92.81,53.03,413,411,0.0001884,,0.71
2020-038AF,45759,STARLINK-1493,95.59,53.06,548,546,0.00017,,0.66
2020-038AG,45760,STARLINK-1494,95.59,53.05,548,546,0.0001433,,0.59
2020-038AL,45764,STARLINK-1502,95.59,53.05,548,546,0.0001557,,0.56
2020-038AT,45771,STARLINK-1463,91.72,53.05,360,358,0.0001497,,0.5
2020-038AU,45772,STARLINK-1470,95.59,53.05,548,546,0.0001552,,0.65
2020-038AV,45773,STARLINK-1482,95.59,53.05,548,546,0.0001608,,0.59
2020-038AW,45774,STARLINK-1485,95.59,53.05,548,546,0.0001254,,0.49
2020-038AY,45776,STARLINK-1489,93.3,53.05,441,431,0.000758,,0.5
2020-038AZ,45777,STARLINK-1490,89.46,53.01,252,244,0.0006162,*D,0.63
2020-038BA,45778,STARLINK-1491,93.33,53.05,443,433,0.0007115,,0.66
2020-038BB,45779,STARLINK-1492,89.45,53,253,242,0.0008288,*D,0.57
2020-038BC,45780,STARLINK-1496,95.59,53.05,549,546,0.0002285,,0.56
2020-038BD,45781,STARLINK-1497,94.9,53.05,517,511,0.0004245,,0.52
2020-038BG,45784,STARLINK-1510,94.68,53.06,504,503,0.000104,,0.62
2020-038BJ,45786,STARLINK-1513,95.59,53.05,548,546,0.0001573,,0.6
2020-038BK,45787,STARLINK-1517,95.59,53.05,548,546,0.0001377,,0.66
2020-039A,45794,GAOFEN-9 03,94.54,97.48,508,485,0.0017122,,0.26
2020-040A,45807,BEIDOU-3 G3,1436.12,1.22,35803,35771,0.0003852,*G,0.68
2020-041A,45854,NAVSTAR 79 (USA 304),717.96,56.3,20317,20047,0.0050755,,1.22
2020-042A,45856,GAOFEN DUOMO (GFDM),97.51,97.84,649,631,0.0012729,,0.22
2020-043A,45859,SHIYAN 6 02 (SY-6 02),98.61,98.2,785,600,0.0130795,,0.57
2020-045A,45863,APSTAR-6D,1436.13,0.04,35800,35775,0.0002921,*G,0.82
2020-048A,45920,KOREASAT 116,1436.08,0.02,35791,35782,0.0001062,*G,0.74
2020-051A,45939,ZINYUAN-3,94.66,97.34,506,498,0.0005718,,0.23
2020-053A,45985,EXPRESS 103,1436.12,0.01,35788,35786,0.0000245,*G,0.36
2020-053B,45986,EXPRESS 80,1436.11,0.03,35791,35782,0.0001034,*G,1.06
2020-054A,46025,GAOFEN-9 04,94.47,97.31,501,485,0.001167,,0.23
2020-055A,46027,STARLINK-1522,95.59,53.05,548,546,0.000143,,0.82
2020-055B,46028,STARLINK-1523,95.59,53.05,548,546,0.0001136,,0.67
2020-055C,46029,STARLINK-1526,95.59,53.05,548,546,0.0001077,,0.81
2020-055F,46032,STARLINK-1555,95.59,53.05,548,546,0.0000993,,0.82
2020-055G,46033,STARLINK-1556,95.59,53.05,548,546,0.0001213,,0.84
2020-055H,46034,STARLINK-1557,95.59,53.05,548,546,0.0001429,,0.64
2020-055J,46035,STARLINK-1558,95.59,53.06,548,546,0.0001412,,0.76
2020-055K,46036,STARLINK-1560,95.59,53.05,548,546,0.0001634,,0.78
2020-055L,46037,STARLINK-1565,94.13,53.03,478,475,0.0002547,,0.5
2020-055M,46038,STARLINK-1567,95.59,53.05,548,546,0.0001299,,0.64
2020-055N,46039,STARLINK-1569,95.59,53.05,548,546,0.0001234,,0.76
2020-055Q,46041,STARLINK-1580,93.65,53.05,454,452,0.0001216,,0.82
2020-055R,46042,STARLINK-1581,93.65,53.06,454,452,0.0001285,,0.72
2020-055S,46043,STARLINK-1582,95.59,53.05,548,546,0.0001224,,0.75
2020-055U,46045,STARLINK-1591,95.59,53.05,548,546,0.0001246,,0.66
2020-055W,46047,STARLINK-1524,95.59,53.06,548,546,0.0001207,,0.84
