International Designator,NORAD Catalog Number,Name,Period (minutes),Inclination (degrees),Apogee Height (km),Perigee Height (km),Eccentricity,Latest Data,GP Age (days)
1999-063A,25967,UFO 10 (USA 146),1436.11,9.61,35815,35759,0.0006688,*G,1.18
1999-065C,25982,ORBCOMM FM32,100.3,45.02,776,769,0.0005238,,1.06
1999-066A,25989,XMM-NEWTON,2872.08,66.89,93683,27422,0.4949946,,-1.29
1999-068A,25994,TERRA,98.6,98.02,694,690,0.0003212,,0.26
1999-071A,26038,GALAXY 11 (G-11),1454.1,5.44,36165,36111,0.0006371,*G,0.77
2000-001A,26052,USA 148,1436.06,11.07,35800,35772,0.0003399,*G,0.24
2000-016A,26107,ASIASTAR,1436.08,7.93,35805,35767,0.0004544,*G,1.01
2000-017A,26113,IMAGE,853.81,93.95,46242,627,0.765024,,0.91
2000-024A,26356,USA 149 (DSP 20),1436.26,12.78,35795,35785,0.0001141,*G,0.87
2000-025A,26360,NAVSTAR 47 (USA 150),717.98,54.83,20287,20077,0.0039552,,0.81
2000-034A,26388,TDRS 8,1435.97,11.88,35813,35755,0.0006921,*G,1.19
2000-041A,26410,CLUSTER II-FM7 (SAMBA),3213.31,142.13,123701,7807,0.8033491,,-1.71
2000-043A,26451,INTELSAT 9 (IS-9),1436.08,9.26,35798,35774,0.000286,*G,0.41
2000-045A,26463,CLUSTER II-FM5 (RUMBA),3356.29,153.71,134264,1492,0.894016,,-0.81
2000-045B,26464,CLUSTER II-FM8 (TANGO),3241.97,142.33,124485,7879,0.8035099,,0.16
2000-059A,26554,NSS-11,1436.08,0.8,35799,35773,0.0003037,*G,0.64
2000-065A,26575,USA 153,1436.13,10.73,35798,35776,0.0002552,*G,1.08
2000-067A,26580,AMC-6,1436.13,0.03,35801,35774,0.0003231,*G,0.88
2000-071A,26605,NAVSTAR 49 (USA 154),717.98,55.36,20611,19754,0.0161337,,0.2
2000-072A,26608,INTELSAT 1R (IS-1R),1454.96,6.8,36197,36113,0.0009929,,0.28
2001-004A,26690,NAVSTAR 50 (USA 156),751.61,54.81,21011,20999,0.0002189,,0.25
2001-007A,26702,ODIN,93.94,97.46,471,463,0.0005294,,0.89
2001-009A,26715,USA 157 (MILSTAR-2 2),1436.09,10.98,35955,35618,0.0039949,*G,0.86
2001-011B,26720,BSAT-2A,1451.91,9.64,36124,36067,0.0006791,*G,1.01
2001-019A,26766,INTELSAT 10 (IS-10),1436.07,7.85,35803,35769,0.00041,*G,0.34
2001-024A,26824,INTELSAT 901 (IS-901),1436.11,0.02,35796,35777,0.0002268,*G,0.61
2001-026A,26857,OMNI-M1,366.97,45.02,10631,10571,0.0017905,,1.16
2001-033A,26880,USA 159 (DSP 21),1436.11,12.3,35790,35784,0.0000715,*G,0.61
2001-039A,26900,INTELSAT 902 (IS-902),1436.09,4.82,35806,35767,0.0004616,*G,0.47
2001-043C,26931,PCSAT (NO-44),100.59,67.05,791,782,0.000622,,0.8
2001-049B,26958,PROBA-1,95.75,97.94,596,513,0.0059934,,0.26
2001-055B,26998,TIMED,96.44,74.07,589,587,0.000119,,0.69
2001-056D,27004,MAROC-TUBSAT,105.09,99.76,1013,984,0.0019997,,0.6
2001-058B,27056,COSMOS 2385,114.24,82.54,1425,1416,0.0005415,,0.57
2001-058C,27057,COSMOS 2386,114.14,82.54,1417,1415,0.0001133,,0.6
2002-001A,27168,USA 164 (MILSTAR-2 3),1436.04,10.57,36205,35367,0.0099375,,0.27
2002-007A,27380,INTELSAT 904 (IS-904),1436.1,5.63,35800,35773,0.0003169,*G,0.61
2002-022A,27424,AQUA,98.58,98.36,692,689,0.0001986,,0.29
2002-023A,27426,DIRECTV 5 (TEMPO 1),1436.09,3.57,35800,35772,0.0003307,*G,0.62
2002-027A,27438,INTELSAT 905 (IS-905),1436.09,5.46,35798,35775,0.0002655,*G,0.61
2002-030A,27445,GALAXY 3C (G-3C),1436.09,2.42,35797,35776,0.0002575,*G,0.62
2002-036A,27464,COSMOS 2390,115.7,82.49,1507,1468,0.0024727,,0.63
2002-036B,27465,COSMOS 2391,115.67,82.49,1506,1466,0.002553,,0.56
2002-041A,27513,INTELSAT 906 (IS-906),1436.11,4.5,35811,35763,0.0005718,*G,0.34
2002-048A,27540,INTEGRAL,3832.22,90.75,144620,4864,0.8614178,,1.19
2002-055A,27566,TDRS 10,1436.15,10.01,35816,35759,0.0006705,*G,0.81
2002-058B,27606,LATINSAT B,97.59,64.56,675,612,0.0044962,,1.21
2002-058C,27607,SAUDISAT 1C (SO-50),97.24,64.55,654,599,0.0039438,,0.62
2002-058H,27612,LATINSAT A,97.06,64.56,644,592,0.003708,,0.31
2002-062A,27632,NIMIQ 2,1436.09,8.25,35813,35760,0.0006368,*G,0.9
2003-001A,27640,CORIOLIS,101.43,98.71,836,817,0.0013142,,0.56
2003-004A,27651,SORCE,96.08,39.99,585,557,0.0020566,,0.36
2003-005A,27663,NAVSTAR 51 (USA 166),717.98,55.02,20563,19802,0.0143152,,0.92
2003-008A,27691,USA 167,1436.1,9.94,35804,35769,0.0004121,*G,0.83
2003-010A,27704,NAVSTAR 52 (USA 168),717.95,55.04,20873,19490,0.0260267,,1.17
2003-012A,27711,USA 169 (MILSTAR-2 4),1436.12,11.57,36202,35372,0.009833,,0.25
2003-014A,27718,ASIASAT 4,1436.12,3.39,35802,35772,0.0003631,*G,0.82
2003-020A,27811,HELLAS-SAT 2,1436.09,6.07,35825,35748,0.0009144,*G,0.53
2003-026A,27825,THURAYA-2,1436.07,8.04,35813,35759,0.0006386,*G,1.38
2003-028B,27831,OPTUS C1,1436.09,5.6,35812,35761,0.0005967,*G,0.81
2003-031D,27843,MOST,101.33,98.71,828,815,0.0008883,,0.54
2003-031E,27844,CUTE-1 (CO-55),101.14,98.68,819,806,0.000888,,0.6
2003-031J,27848,CUBESAT XI-IV (CO-57),101.18,98.68,821,809,0.0008581,,0.93
2003-034A,27854,GALAXY 23 (G-23),1436.09,1.87,35799,35774,0.0002993,*G,0.77
2003-036A,27858,SCISAT 1,97.28,73.93,635,622,0.000896,,0.31
2003-037A,27868,COSMOS 2400,115.65,82.47,1502,1467,0.0022406,,0.53
2003-037B,27869,COSMOS 2401,115.62,82.47,1502,1465,0.0023175,,0.28
2003-040A,27875,USA 170,1435.99,9.41,35790,35779,0.0001273,*G,0.74
2003-042A,27939,MOZHAYETS 4 (RS-22),97.85,98.31,665,647,0.0012668,,0.21
2003-042F,27944,LARETS,98.38,98.34,690,673,0.0012107,,0.28
2003-044A,27954,GALAXY 13 (HORIZONS-1),1436.07,0.09,35793,35779,0.0001692,*G,0.86
2003-046A,28051,IRS-P6 (RESOURCESAT-1),100.29,98.26,819,725,0.0065801,,0.21
2003-048A,28054,DMSP 5D-3 F16 (USA 172),101.82,99.02,850,839,0.0007826,,0.22
2003-049B,28058,CHUANGXIN 1 (CX-1),99.44,98.56,740,724,0.0011595,,0.74
2003-053A,28089,YAMAL 202,1436.1,5.05,35811,35762,0.0005843,*G,0.9
2003-057A,28117,UFO 11 (USA 174),1436.08,8.41,35804,35769,0.0004128,*G,1.37
2003-058A,28129,NAVSTAR 53 (USA 175),717.97,54.68,20367,19998,0.0069469,,1.15
2004-004A,28158,USA 176 (DSP 22),1436.11,11.36,35793,35781,0.0001483,*G,1.01
2004-007A,28184,ABS-4 (MOBISAT-1),1436.11,4.74,35816,35758,0.000684,*G,0.34
2004-008A,28187,EUTELSAT 7A,1436.05,4.53,35804,35768,0.0004238,*G,0.77
2004-009A,28190,NAVSTAR 54 (USA 177),717.95,55.26,20446,19917,0.0099608,,0.89
2004-012A,28220,SHIYAN 1 (SY-1),94.81,97.94,515,504,0.0008366,,0.83
2004-017A,28252,AMC-11,1436.07,0.05,35797,35775,0.0002555,*G,0.62
2004-022A,28358,INTELSAT 10-02,1436.08,0.04,35790,35783,0.0000773,*G,0.6
2004-023A,28361,NAVSTAR 55 (USA 178),718,54.53,20590,19775,0.0153341,,1.4
2004-025A,28366,APRIZESAT 2,100.16,98.07,842,691,0.0106099,,0.54
2004-025D,28369,SAUDICOMSAT 1,98.99,98.56,734,687,0.0033169,,0.58
2004-025E,28370,SAUDICOMSAT 2,99.36,98.65,768,688,0.0056256,,0.6
2004-025F,28371,SAUDISAT 2,98.9,98.51,724,687,0.0026135,,0.61
2004-025G,28372,APRIZESAT 1,99.23,98.61,753,691,0.0043838,,0.61
2004-026A,28376,AURA,98.64,98.28,695,693,0.0001612,,0.53
2004-027A,28378,ANIK F2,1436.09,1.96,35794,35779,0.00017,*G,0.9
2004-028A,28380,COSMOS 2407,104.63,82.96,1005,949,0.0038071,,0.3
2004-035A,28413,SHIJIAN-6 01A (SJ-6 01A),95.49,97.63,549,536,0.0009529,,0.85
2004-035B,28414,SHIJIAN-6 01B (SJ-6 01B),95.91,97.64,569,556,0.0009243,,0.28
2004-037A,28419,COSMOS 2408,115.6,82.48,1495,1470,0.0015559,,0.55
2004-037B,28420,COSMOS 2409,115.63,82.49,1495,1474,0.0013353,,0.57
2004-041A,28446,AMC-15,1436.11,0.03,35797,35777,0.0002309,*G,0.62
2004-044A,28470,JB-3 3 (ZY 2C),95.14,97.22,551,500,0.0036625,,1.07
2004-045A,28474,NAVSTAR 56 (USA 180),717.98,55.38,20626,19738,0.0167217,,1.06
2004-047A,28485,SWIFT,94.11,20.56,480,471,0.0006815,,1.09
2004-049A,28492,HELIOS 2A,96,98.33,573,561,0.0008714,,0.3
2004-049B,28493,NANOSAT-1,97.42,98.16,639,632,0.0004927,,0.62
2005-002A,28521,COSMOS 2414,103.76,82.95,965,907,0.003979,,0.89
2005-003A,28526,NSS-10,1436.1,5.17,35799,35774,0.0002962,*G,0.61
2005-005A,28542,XTAR-EUR,1436.08,3.01,35812,35760,0.0006202,*G,0.68
2005-008A,28626,XM-3 (RHYTHM),1436.11,0.03,35807,35767,0.00047,*G,0.89
2005-009A,28628,INMARSAT 4-F1,1436.09,4.52,35796,35777,0.0002201,*G,0.43
